Player,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
Jonathan Mingo,2,39,CAR,WR,22,2023,0,0,0,3,3,15,0,0,0,0,0,0,0,0,43,418,0,,,,Mississippi,College Stats,MingJo00
Isaiah Foskey,2,40,NOR,DL,22,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,5,,,Notre Dame,College Stats,FoskIs00
BJ Ojulari,2,41,ARI,DE,21,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,23,,4,LSU,College Stats,OjulBJ00
Luke Musgrave,2,42,GNB,TE,23,2023,0,0,0,3,3,11,0,0,0,0,0,0,0,0,34,352,1,,,,Oregon St.,College Stats,MusgLu00
Joe Tippmann,2,43,NYJ,OL,22,2023,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,TippJo00
Julius Brents,2,44,IND,DB,23,2023,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,30,1,,Kansas St.,College Stats,BrenJu00
Brian Branch,2,45,DET,DB,21,2023,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,50,3,1,Alabama,College Stats,BranBr00
Keion White,2,46,NWE,DL,24,2023,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,12,,1,Georgia Tech,College Stats,WhitKe03
Quan Martin,2,47,WAS,DB,23,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,28,2,1,Illinois,College Stats,MartJa04
Cody Mauch,2,48,TAM,T,24,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,,MaucCo00
Keeanu Benton,2,49,PIT,NT,22,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,16,,1,Wisconsin,College Stats,BentKe00
Jayden Reed,2,50,GNB,WR,23,2023,0,0,0,9,9,16,0,0,0,0,0,11,119,2,64,793,8,,,,Michigan St.,College Stats,ReedJa03
Cam Smith,2,51,MIA,DB,22,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,1,,,South Carolina,College Stats,SmitCa02
Zach Charbonnet,2,52,SEA,RB,22,2023,0,0,0,5,5,16,0,0,0,0,0,108,462,1,33,209,0,,,,UCLA,College Stats,CharZa00
Gervon Dexter,2,53,CHI,DL,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,2.5,Florida,College Stats,DextGe00
Tuli Tuipulotu,2,54,LAC,DL,21,2023,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,37,,4.5,USC,College Stats,TuipTu00
Rashee Rice,2,55,KAN,WR,23,2023,0,0,0,8,8,16,0,0,0,0,0,1,-3,0,79,938,7,,,,SMU,College Stats,RiceRa01
Tyrique Stevenson,2,56,CHI,CB,23,2023,0,0,0,6,6,16,0,0,0,0,0,0,0,0,0,0,0,65,4,,Miami (FL),College Stats,StevTy01
John Michael Schmitz,2,57,NYG,OL,24,2023,0,0,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,,,,Minnesota,College Stats,MichJo00
Luke Schoonmaker,2,58,DAL,TE,24,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,8,65,2,2,,,Michigan,College Stats,SchoLu00
O'Cyrus Torrence,2,59,BUF,OL,23,2023,0,0,0,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,TorrOC00
DJ Turner,2,60,CIN,DB,22,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,40,,1,Michigan,College Stats,TurnDJ01
Brenton Strange,2,61,JAX,TE,22,2023,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,35,1,1,,,Penn St.,College Stats,StraBr00
Juice Scruggs,2,62,HOU,OL,23,2023,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,ScruJu00
Marvin Mims,2,63,DEN,WR,21,2023,0,1,0,5,5,16,0,0,0,0,0,9,30,0,22,377,1,,,,Oklahoma,College Stats,MimsMa00
Zacch Pickens,3,64,CHI,DL,23,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,9,,0.5,South Carolina,College Stats,PickZa00
Tyler Steen,3,65,PHI,OL,23,2023,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,SteeTy00
Sydney Brown,3,66,PHI,DB,23,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,32,1,,Illinois,College Stats,BrowSy00
Drew Sanders,3,67,DEN,LB,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,,Arkansas,College Stats,SandDr00
Hendon Hooker,3,68,DET,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,HookHe00
Tank Dell,3,69,HOU,WR,23,2023,0,0,0,6,6,11,0,0,0,0,0,11,51,0,47,709,7,,,,Houston,College Stats,DellNa00
Byron Young,3,70,LVR,DL,22,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,,,Alabama,College Stats,YounBy00
Kendre Miller,3,71,NOR,RB,21,2023,0,0,0,2,2,8,0,0,0,0,0,41,156,1,10,117,0,,,,TCU,College Stats,MillKe01
Garrett Williams,3,72,ARI,DB,22,2023,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,19,1,,Syracuse,College Stats,WillGa00
Jalin Hyatt,3,73,NYG,WR,21,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,23,373,0,,,,Tennessee,College Stats,HyatJa00
Cedric Tillman,3,74,CLE,WR,23,2023,0,0,0,2,2,14,0,0,0,0,0,1,8,0,21,224,0,,,,Tennessee,College Stats,TillCe01
Zach Harrison,3,75,ATL,DE,22,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,18,,3,Ohio St.,College Stats,HarrZa00
Marte Mapu,3,76,NWE,DB,23,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,12,1,,Sacramento St.,,MapuMa00
Byron Young,3,77,LAR,LB,25,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,42,,8,Tennessee,College Stats,YounBy01
Tucker Kraft,3,78,GNB,TE,22,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,31,355,2,2,,,South Dakota St.,,KrafTu00
Josh Downs,3,79,IND,WR,22,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,68,771,2,,,,North Carolina,College Stats,DownJo00
DJ Johnson,3,80,CAR,OLB,24,2023,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,6,,,Oregon,College Stats,JohnDJ00
Tyjae Spears,3,81,TEN,RB,22,2023,0,0,0,6,6,17,0,0,0,0,0,100,453,2,52,385,1,,,,Tulane,College Stats,SpeaTy00
YaYa Diaby,3,82,TAM,DL,24,2023,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,25,,7.5,Louisville,College Stats,DiabYa00
Riley Moss,3,83,DEN,DB,23,2023,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,2,,,Iowa,College Stats,MossRi00
De'Von Achane,3,84,MIA,RB,21,2023,0,0,0,7,7,11,0,0,0,0,0,103,800,8,27,197,3,,,,Texas A&M,College Stats,AchaDe00
Daiyan Henley,3,85,LAC,LB,23,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,9,,,Washington St.,College Stats,HenlDa00
Trenton Simpson,3,86,BAL,LB,22,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,10,,1,Clemson,College Stats,SimpTr00
Ji'Ayir Brown,3,87,SFO,S,23,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,22,2,,Penn St.,College Stats,BrowJi01
Tank Bigsby,3,88,JAX,RB,22,2023,0,0,0,1,1,17,0,0,0,0,0,50,132,2,1,6,0,,,,Auburn,College Stats,BigsTa00
Kobie Turner,3,89,LAR,DT,24,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,29,,9,Wake Forest,College Stats,TurnKo00
DeMarvion Overshown,3,90,DAL,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,OverDe00
Dorian Williams,3,91,BUF,LB,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,25,,,Tulane,College Stats,WillDo04
Wanya Morris,3,92,KAN,OL,22,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,MorrWa01
Darnell Washington,3,93,PIT,TE,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,7,61,0,,,,Georgia,College Stats,WashDa03
